ref	text	macula_lemma	macula_eng	macula_lxx_greek	hcb	cu2010s	cu2010t	rso94	sruv06	tbi	lsg10	rv09	tpb08	esvuk16	arbnav	tglulb	bsb	engulb	bbc
NUM 24:4!7	שַׁדַּי֙	שַׁדַּי	Almighty	θεοῦ	Maɗaukaki	全能者	全能者	Всемогущего	Mwenyezi	Yang Mahakuasa	Tout-Puissant	Omnipotente		Almighty	الْقَدِيرِ	Makapangyarihan	Almighty	Almighty	
NUM 24:5!4	יַעֲקֹ֑ב	יַעֲקֹב	Jacob	ιακωβ	Yaƙub	雅各	雅各	Иаков	Ee Yakobo	yakub	Jacob	Jacob		Jacob	يَايَعْقُوبُ	Jacob	Jacob	Jacob	Jakkob
NUM 24:5!6	יִשְׂרָאֵֽל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ila	以色列	以色列	Израиль	Ee Israeli	israel	Israël	Israel		Israel	يَاإِسْرَائِيلُ	Israel	Israel	Israel	Israel
NUM 24:6!8	יְהוָ֔ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華		BWANA	tuhan	Éternel	jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	ni
NUM 24:7!8	אֲגַג֙	אֲגָג	Agag	γωγ	Agag	亚甲	亞甲	Агага	kuliko Agagi	agag	Agag	Agag	agak	Agag	أَجَاجَ	Agag	Agag	Agag	Agag
NUM 24:8!3	מִּצְרַ֔יִם	מִצְרַ֫יִם	Egypt	αἰγύπτου	Masar	埃及	埃及	Египта	Misri	mesir	Égypte	Egipto	isip	Egypt	مِصْرَ	Ehipto	Egypt	Egypt	Misir
NUM 24:10!3	בָּלָק֙	בָּלָק	Balak’s	βαλακ	Balak	巴勒	巴勒	Валака	Balaki	balak	Balak	Balac		Balak	بَالاَقُ	Balak	Balak	Balak	Balas
NUM 24:10!5	בִּלְעָ֔ם	בִּלְעָם	Balaam	βαλααμ	Bala’am	巴兰	巴蘭	Валаама	ikawaka juu ya Balaamu	bileam	Balaam	Balaam		Balaam	بَلْعَامَ	Balaam	Balaam	Balaam	Bileam
NUM 24:10!10	בָּלָ֜ק	בָּלָק	Balak	βαλακ	Balak	巴勒	巴勒	Валак	Balaki					Balak	بَالاَقُ	Balak	Balak	Balak	
NUM 24:10!12	בִּלְעָ֗ם	בִּלְעָם	Balaam	βαλααμ	Bala’am	巴兰	巴蘭	Валааму	Balaamu	Bileam	Balaam			Balaam	بَلْعَامَ	Balaam	Balaam	Balaam	Bileam
NUM 24:11!11	יְהוָ֖ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華		BWANA	tuhan	Éternel	jehová	bikpela	LORD	الرَّبَّ	Yahweh	LORD	Yahweh	Jahowa
NUM 24:12!2	בִּלְעָ֖ם	בִּלְעָם	Balaam	βαλααμ	Bala’am	巴兰	巴蘭	Валаам	Balaamu	bileam	Balaam	Balaam		Balaam	بَلْعَامُ	Balaam	Balaam	Balaam	Bileam
NUM 24:12!4	בָּלָ֑ק	בָּלָק	Balak	βαλακ	Balak	巴勒	巴勒	Валаку	Balaki	balak	Balak			Balak			Balak	Balak	Balas
NUM 24:13!4	בָלָ֜ק	בָּלָק	Balak	βαλακ	Balak	巴勒	巴勒	Валак	Balaki	balak	Balak	Balac		Balak	أَغْدَقَ	Balak	Balak	Balak	Balas
NUM 24:13!14	יְהוָ֔ה	יהוה	LORD	κυρίου	Ubangiji	耶和华	耶和華		BWANA	tuhan	Éternel	jehová jehová	bikpela	LORD	الرَّبِّ	Yahweh	LORD	Yahweh	Jahowa
NUM 24:13!22	יְהוָ֖ה	יהוה	LORD	θεός	Ubangiji	耶和华	耶和華		BWANA	tuhan	Éternel	jehová jehová	bikpela	LORD	الرَّبِّ	Yahweh	LORD	Yahweh	Jahowa
NUM 24:15!5	בִּלְעָם֙	בִּלְעָם	Balaam	βαλααμ	Bala’am	巴兰	巴蘭	Валаам	Balaamu	bileam	Balaam	Balaam		Balaam	بَلْعَامَ	Balaam	Balaam	Balaam	Bileam
NUM 24:15!7	בְעֹ֔ר	בְּעוֹר	Beor	βεωρ	Beyor	比珥	比珥	Веоров	Beori	beor	Beor	Beor		Beor	بَعُورَ	Beor	Beor	Beor	Beor
NUM 24:16!9	שַׁדַּי֙	שַׁדַּי	Almighty	θεοῦ	Maɗaukaki	全能者	全能者	Всемогущего	Mwenyezi	Yang Mahakuasa	Tout Puissant	Omnipotente		Almighty	الْقَدِيرِ	Makapangyarihan	Almighty	Almighty	
NUM 24:17!9	יַּעֲקֹ֗ב	יַעֲקֹב	Jacob	ιακωβ	Yaƙub	雅各	雅各	Иакова	Yakobo	yakub	Jacob	Jacob		Jacob	يَعْقُوبَ	Jacob	Jacob	Jacob	Jakkob
NUM 24:17!12	יִּשְׂרָאֵ֔ל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ila	以色列	以色列	Израиля	Israeli	israel	Israël	Israel		Israel	إِسْرَائِيلَ	Israel	Israel	Israel	Israel
NUM 24:17!15	מוֹאָ֔ב	מוֹאָב	Moab	μωαβ	Mowab	摩押	摩押	Моава	Moabu	moab	Moab	Moab	moap	Moab	مُوآبَ	Moab	Moab	Moab	Moab
NUM 24:17!19	שֵֽׁת	שֵׁת	Sheth	σηθ	Set	塞特	塞特	Сифовых	ghasia	set		Set		Sheth	الْحَرْبِ	Set	Sheth	Seth	Set
NUM 24:18!2	אֱד֜וֹם	אֱדוֹם	Edom	εδωμ	Edom	以东	以東	Едом	Edomu	edom	Édom	Edom	idom	Edom	أَدُومَ	Edom	Edom	Edom	Edom
NUM 24:18!6	שֵׂעִ֖יר	שֵׂעִיר	Seir	ησαυ	Seyir	西珥	西珥	Сеир	Seiri	seir	Séir	Seir		Seir		Seir	Seir	Seir	Seir
NUM 24:18!8	יִשְׂרָאֵ֖ל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ila	以色列	以色列	Израиль	Israeli	israel	Israël	Israel		Israel	إِسْرَائِيلُ	Israel	Israel	Israel	Israel
NUM 24:19!2	יַּעֲקֹ֑ב	יַעֲקֹב	Jacob	ιακωβ	Yaƙub	雅各	雅各	Иакова	Yakobo	yakub	Jacob	Jacob		Jacob	يَعْقُوبَ	Jacob	Jacob	Jacob	Jakkob
NUM 24:20!3	עֲמָלֵ֔ק	עֲמָלֵק	Amalek	αμαληκ	Amalek	亚玛力	亞瑪力	Амалика	Amaleki	orang Amalek	Amalek	Amalec	amalek	Amalek	عَمَالِيقَ	Amalek	Amalek	Amalek	
NUM 24:20!9	עֲמָלֵ֔ק	עֲמָלֵק	Amalek	αμαληκ	Amalek	亚玛力	亚玛力	Амалик	Amaleki	amalek	Amalek	Amalec	amalek	Amalek	عَمَالِيقَ	Amalek	Amalek	Amalek	Amalek
NUM 24:22!5	קָ֑יִן	קַ֫יִן	Kain	νεοσσιὰ	Keniyawa	基尼 族	基尼 族	Каин	Wakeni	orang Keni	Mais	ceneo		Kain	وَإِنَّمَا	Kain	Kain	Kenites	
NUM 24:22!8	אַשּׁ֥וּר	אַשּׁוּר	Asshur	ἀσσύριοί	Asshur	亚述	亞述	Ассур	Ashuru	Asyur	Assyrien	Asiria		Asshur	يَطْرُدُكُمُ	Asiria	Asshur	Assyria	Assur
NUM 24:24!3	כִּתִּ֔ים	כִּתִּי	Kittim	κιτιαίων	Kittim	基提	基提	Киттима Киттима	Kitimu	orang Kitim	Kittim	Quitim		Kittim	كِتِّيمَ	Kitim		Kittim	
NUM 24:24!5	אַשּׁ֖וּר	אַשּׁוּר	Asshur	ασσουρ	Asshur	亚述	亞述	Ассура	Ashuru	Asyur	Assyrien	Asiria		Asshur	وَتُذِلُّ	Asiria	Asshur	Assyria	Assur
NUM 24:24!7	עֵ֑בֶר	עֵ֫בֶר	Eber	εβραίους	Eber	希伯	希伯	Евера	Eberi	Heber	Hébreu	Heber	eber	Eber	عَابِرَ	Eber	Eber	Eber	Heber
NUM 24:25!2	בִּלְעָ֔ם	בִּלְעָם	Balaam	βαλααμ	Bala’am	巴兰	巴蘭	Валаам	Balaamu	bileam	Balaam	Balaam		Balaam	بَلْعَامُ	Balaam	Balaam	Balaam	Bileam
NUM 24:25!7	בָּלָ֖ק	בָּלָק	Balak	βαλακ	Balak	巴勒	巴勒	Валак	Balaki	balak	Balak	Balac		Balak	بَالاَقُ	Balak	Balak	Balak	Balas
NUM 25:1!2	יִשְׂרָאֵ֖ל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ila	以色列	以色列	Израиль	Israeli	israel	Israël	Israel		Israel	الإِسْرَائِيلِيُّونَ	Israel	Israel	Israel	Israel
NUM 25:1!3	שִּׁטִּ֑ים	שִׁטִּים	Shittim	σαττιν	Shittim	什亭	什亭	Ситтиме	Shitimu	sitim	Sittim	Sitim		Shittim	شِطِّيمَ	Sitim	Shittim	Shittim	Sitim
NUM 25:1!9	מוֹאָֽב	מוֹאָב	Moab	μωαβ	Mowabawa	摩押	摩押	Моава	Moabu	moab	Moab	Moab	moap	Moab	الْمُوآبِيَّاتِ	Moab	Moab	Moab	Moab
NUM 25:3!2	יִשְׂרָאֵ֖ל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ila	以色列	以色列	Израиль	Israeli	israel	Israël			Israel	الإِسْرَائِيلِيُّونَ	Israel	Israel	Israel	Israel
NUM 25:3!7	יְהוָ֖ה	יהוה	LORD’s	κύριος	Ubangiji	耶和华	耶和華		BWANA	tuhan	Éternel	jehová	bikpela	LORD	الرَّبِّ	Yahweh	LORD	Yahweh	Jahowa
NUM 25:3!8	יִשְׂרָאֵֽל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ila	以色列	以色列	Израиля	Israeli	israel	Israël	Israel		Israel	الإِسْرَائِيلِيُّونَ	Israel	Israel	Israel	Israel
NUM 25:4!2	יְהוָ֜ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華		BWANA	tuhan	Éternel	Jehová		LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
NUM 25:4!4	מֹשֶׁ֗ה	מֹשֶׁה	Moses	μωυσῇ	Musa	摩西	摩西	Моисею	Musa	musa	Moïse	Moisés		Moses	لِمُوسَى	Moises	Moses	Moses	Musa
NUM 25:4!12	יהוָ֖ה	יהוה	LORD	κυρίῳ	Ubangiji				BWANA	tuhan	Éternel	Jehová		LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
NUM 25:4!18	יְהוָ֖ה	יהוה	Lord	κυρίου	Ubangiji				BWANA	tuhan	Éternel	Jehová		LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
NUM 25:4!19	יִּשְׂרָאֵֽל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ila	以色列	以色列	Израиля	Israeli	israel	Israël	Israel		Israel		Israel	Israel	Israel	Israel
NUM 25:5!2	מֹשֶׁ֔ה	מֹשֶׁה	Moses	μωυσῆς	Musa	摩西	摩西	Моисей	Musa	musa	Moïse	Moisés		Moses	مُوسَى	Moises	Moses	Moses	Musa
NUM 25:5!5	יִשְׂרָאֵ֑ל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ila	以色列	以色列	Израилевым	Israeli	israel	Israël	Israel		Israel	إِسْرَائِيلَ	Israel	Israel	Israel	Israel
NUM 25:6!4	יִשְׂרָאֵ֜ל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ila	以色列	以色列	Израилевых	Israeli	israel	Israël	Israel		Israel	إِسْرَائِيلَ	Israel	Israel	Israel	Israel
NUM 25:6!12	מֹשֶׁ֔ה	מֹשֶׁה	Moses	μωυσῆ	Musa	摩西	摩西	Моисея	Musa	musa	Moïse	Moisés		Moses	مُوسَى	Moises	Moses	Moses	Musa
NUM 25:6!17	יִשְׂרָאֵ֑ל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ila	以色列	以色列	Израилевых	Israeli	israel	Israël	Israel		Israel	إِسْرَائِيلَ	Israel	Israel	Israel	Israel
NUM 25:7!2	פִּֽינְחָס֙	פִּינְחָס	Phinehas	φινεες	Finehas	非尼哈	非尼哈	Финеес	Finehasi	pinehas	Phinées	Finees		Phinehas	فِينْحَاسُ	Finehas	Phinehas	Phinehas	Pinehas
NUM 25:7!4	אֶלְעָזָ֔ר	אֶלְעָזָר	Eleazar	ελεαζαρ	Eleyazar	以利亚撒	以利亞撒	Елеазара	Eleazari	eleazar	Éléazar	Eleazar	eleasar	Eleazar	أَلِعَازَارَ	Eleazar	Eleazar	Eleazar	Eleasar
NUM 25:7!6	אַהֲרֹ֖ן	אַהֲרֹן	Aaron	ααρων	Haruna	亚伦	亞倫	Аарона	Haruni	harun	Aaron	Aarón	aron	Aaron	هَرُونَ	Aaron	Aaron	Aaron	Aron
NUM 25:8!4	יִשְׂרָאֵ֜ל	יִשְׂרָאֵל	Israel		Isra’ilan	以色列	以色列	Израильтянином Израильтянином	Israeli	israel	Israël	Israel		Israel	الإِسْرَائِيلِيَّ	Israel		Israel	Israel
NUM 25:8!12	יִשְׂרָאֵ֔ל	יִשְׂרָאֵל	Israel		Isra’ilan	以色列	以色列	Израильтянина Израильтянина	Israeli	israel	Israël	Israel		Israel	الإِسْرَائِيلِيَّ	Israel		Israel	Israel
NUM 25:8!21	יִשְׂרָאֵֽל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ilawa	以色列	以色列	Израилевых	Israeli	israel	Israël	Israel		Israel	الإِسْرَائِيلِيَّ	Israel		Israel	Israel
NUM 25:10!2	יְהוָ֖ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華		BWANA	tuhan	Éternel	jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
NUM 25:10!4	מֹשֶׁ֥ה	מֹשֶׁה	Moses	μωυσῆν	Musa	摩西	摩西	Моисею	Musa	musa	Moïse	Moisés		Moses	لِمُوسَى	Moises	Moses	Moses	Musa
NUM 25:11!1	פִּֽינְחָ֨ס	פִּינְחָס	Phinehas	φινεες	Finehas	非尼哈	非尼哈	Финеес	Finehasi	pinehas	Phinées	Finees		Phinehas	فِينْحَاسَ	Finehas	Phinehas	Phinehas	Pinehas
NUM 25:11!3	אֶלְעָזָ֜ר	אֶלְעָזָר	Eleazar	ελεαζαρ	Eleyazar	以利亚撒	以利亞撒	Елеазара	Eleazari	eleazar	Éléazar	Eleazar		Eleazar	أَلِعَازَارَ	Eleazar	Eleazar	Eleazar	Eleasar
NUM 25:11!5	אַהֲרֹ֣ן	אַהֲרֹן	Aaron	ααρων	Haruna	亚伦	亞倫	Аарона	Haruni	harun	Aaron	Aarón		Aaron	هَرُونَ	Aaron	Aaron	Aaron	Aron
NUM 25:11!12	יִשְׂרָאֵ֔ל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ilawa	以色列	以色列	Израилевых	Wa Israeli	israel	Israël	Israel		Israel	إِسْرَائِيلَ	Israel		Israel	Israel
NUM 25:11!21	יִשְׂרָאֵ֖ל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ilawa	以色列	以色列	Израилевых	Israeli	israel	Israël	Israel		Israel	إِسْرَائِيلَ	Israel		Israel	Israel
NUM 25:13!15	יִשְׂרָאֵֽל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ilawa	以色列	以色列	Израилевых	Israeli	israel	Israël	Israel		Israel	الإِسْرَائِيلِيِّينَ	Israel		Israel	Israel
NUM 25:14!3	יִשְׂרָאֵ֜ל	יִשְׂרָאֵל	Israelite		Isra’ilan	以色列	以色列		Mwisraeli	israel				Israel					Israel
NUM 25:14!9	זִמְרִ֖י	זִמְרִי	Zimri	ζαμβρι	Zimri	心利	心利	Зимри	aliitwa Zimri	zimri	Zimri	Zimri	simri	Zimri	زِمْرِيَ	Zimri	Zimri	Zimri	Simri
NUM 25:14!11	סָל֑וּא	סָלוּא	Salu	σαλω	Salu	撒路	撒路	Салу	Salu	salu	Salu	Salu	salu	Salu	سَالُو	Salu	Salu	Salu	Salu
NUM 25:15!5	כָּזְבִּ֣י	כָּזְבִי	Cozbi	ξασβι	Kozbi	哥斯比	哥斯比	Хазва	aliitwa Kozbi	kozbi	Cozbi	Cozbi		Cozbi	كُزْبِيَ	Cozbi	Cozbi	Kozbi	Kosbi
NUM 25:15!7	צ֑וּר	צוּר	Zur	σουρ	Zur	苏珥	蘇珥	Цура	Suri	zur	Tsur	Zur	sur	Zur	صُورٍ	Zur	Zur	Zur	Zur
NUM 25:15!12	מִדְיָ֖ן	מִדְיָן	Midian	ἐστιν	Midiyawa	米甸	米甸		Midiani	midian		Madián	midian	Midian	مِدْيَانَ	Midian		Midian	Midian
NUM 25:16!2	יְהוָ֖ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華		BWANA	tuhan	Éternel	jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
NUM 25:16!4	מֹשֶׁ֥ה	מֹשֶׁה	Moses	μωυσῆν	Musa	摩西	摩西	Моисею	Musa	musa	Moïse	Moisés		Moses	لِمُوسَى	Moises	Moses	Moses	Musa
NUM 25:18!11	פְּע֑וֹר	פְּעוֹר	Peor	φογωρ	Feyor	毗珥	毗珥	Фегором	Peori	peor	Peor	Baal		Peor	فَغُورَ	Peor	Peor	Peor	Peor
NUM 25:18!14	כָּזְבִּ֨י	כָּזְבִי	Cozbi	ξασβι	da’yar’uwarsu	哥斯比	哥斯比	Хазвою	huyo Kozbi	kozbi	Cozbi	Cozbi		Cozbi	كُزْبِي	Cozbi	Cozbi	Kozbi	Kosbi
NUM 25:18!17	מִדְיָן֙	מִדְיָן	Midian	μαδιαν	Midiyawa	米甸	米甸		Midiani	midian		Madián	midian	Midian	لِمِدْيَانَ	Midian		Midian	Midian
NUM 25:18!24	פְּעֽוֹר	פְּעוֹר	Peor	φογωρ	Feyor	毗珥	毗珥	Фегора	Peori	Peor	Peor	Baal		Peor	فَغُورَ	Peor	Peor	Peor	Peor
NUM 26:1!2	יְהוָה֙	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華		BWANA	tuhan	Éternel	jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
NUM 26:1!4	מֹשֶׁ֔ה	מֹשֶׁה	Moses	μωυσῆν	Musa	摩西	摩西	Моисею	Musa	musa	Moïse	Moisés		Moses	لِمُوسَى	Moises	Moses	Moses	Musa
NUM 26:1!6	אֶלְעָזָ֛ר	אֶלְעָזָר	Eleazar	ελεαζαρ	Eleyazar	以利亚撒	以利亞撒	Елеазару	Eleazari	eleazar	Éléazar	Eleazar	eleasar	Eleazar	وَأَلِعَازَارَ	Eleazar	Eleazar	Eleazar	Eleasar
NUM 26:1!8	אַהֲרֹ֥ן	אַהֲרֹן	Aaron		Haruna	亚伦	亞倫	Аарона	Haruni	harun	Aaron	Aarón	aron	Aaron	هَرُونَ	Aaron	Aaron	Aaron	Aron
NUM 26:2!7	יִשְׂרָאֵ֗ל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ila	以色列	以色列	Израилевых	Israeli	Israel	Israël	Israel		Israel	إِسْرَائِيلَ	Israel	Israel	Israel	Israel
NUM 26:2!17	יִשְׂרָאֵֽל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ila	以色列	以色列	Израиля	Israeli	israel	Israël	Israel		Israel	إِسْرَائِيلَ	Israel	Israel	Israel	Israel
NUM 26:3!2	מֹשֶׁ֜ה	מֹשֶׁה	Moses	μωυσῆς	Musa	摩西	摩西	Моисей	Musa	musa	Moïse	Moisés		Moses	مُوسَى	Moises	Moses	Moses	Musa
NUM 26:3!3	אֶלְעָזָ֧ר	אֶלְעָזָר	Eleazar	ελεαζαρ	Eleyazar	以利亚撒	以利亞撒	Елеазар	Eleazari	eleazar	Éléazar	Eleazar	eleasar	Eleazar	وَأَلِعَازَارُ	Eleazar	Eleazar	Eleazar	Eleasar
NUM 26:3!7	מוֹאָ֑ב	מוֹאָב	Moab	μωαβ	Mowab	摩押	摩押	Моавитских	Moabu	moab	Moab	Moab	moap	Moab	مُوآبَ	Moab	Moab	Moab	Moab
NUM 26:3!9	יַרְדֵּ֥ן	יַרְדֵּן	Jordan	ιορδάνου	Urdun	约旦 河	約旦 河	Иордана	mto wa Yordani	yordan	Jourdain	Jordán		Jordan	الأُرْدُنِّ	Jordan	Jordan	Jordan	Jordan
NUM 26:3!10	יְרֵח֖וֹ	יְרִיחוֹ	Jericho	ιεριξω	Yeriko	耶利哥	耶利哥		huko Yeriko	yerikho		Jericó	jeriko	Jericho	أَرِيحَا	Jerico	Jericho	Jericho	Jeriko
NUM 26:4!7	יְהוָ֤ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華		BWANA	tuhan	Éternel	jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
NUM 26:4!9	מֹשֶׁה֙	מֹשֶׁה	Moses	μωυσῇ	Musa	摩西	摩西	Моисею	Musa	musa	Moïse	Moisés		Moses	مُوسَى	Moises	Moses	Moses	Musa
NUM 26:4!11	יִשְׂרָאֵ֔ל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ilawan	以色列	以色列	Израилевым	Israeli	israel	Israël	Israel		Israel	هَؤُلاءِ	Israel		Israel	Israel
NUM 26:4!14	מִצְרָֽיִם	מִצְרַ֫יִם	Egypt	αἰγύπτου	Masar	埃及	埃及	Египетской	Misri	mesir	Égypte	Egipto	isip	Egypt	مِصْرَ	Ehipto	Egypt	Egypt	Misir
NUM 26:5!1	רְאוּבֵ֖ן	רְאוּבֵן	Reuben	ρουβην	Ruben	吕便	呂便	Рувим	Reubeni	ruben	Ruben	Rubén	ruben	Reuben	رَأُوبَيْنُ	Ruben	Reuben	Reuben	Ruben
NUM 26:5!3	יִשְׂרָאֵ֑ל	יִשְׂרָאֵל	Israel	ισραηλ	Isra’ila	以色列	以色列	Израиля	Israeli	israel	Israël	Israel		Israel	يَعْقُوبَ	Israel	Israel	Israel	Israel
NUM 26:5!5	רְאוּבֵ֗ן	רְאוּבֵן	Reuben	ρουβην	Ruben	吕便	呂便	Рувима	Reubeni	ruben	Ruben	Rubén		Reuben	رَأُوبَيْنُ	Ruben	Reuben	Reuben	Ruben
NUM 26:5!6	חֲנוֹךְ֙	חֲנוֹךְ	Hanoch	ενωξ	Hanok	哈诺	哈諾	Ханоха	Hanoki	henokh	Hénoc	Enoc	hanok	Hanoch	حَنُوكُ	Hanoc	Hanoch	Hanok	Hanok
NUM 26:5!9	פַלּ֕וּא	פַּלּוּא	Pallu	φαλλου	Fallu	法路	法路	Фаллу	Palu	palu	Pallu	Falú		Pallu		Palu		Pallu	Pallu
NUM 26:6!1	חֶצְרֹ֕ן	חֶצְרוֹן	Hezron	ασρων	Hezron	希斯伦	希斯倫	Хецрона	Hesroni	hezron	Hetsron	Hezrón	hesron	Hezron	وَحَصْرُونُ		Hezron	Hezron	Hezron
NUM 26:6!4	כַרְמִ֕י	כַּרְמִי	Carmi	ξαρμι	Karmi	迦米	迦米	Харми	Karmi	karmi	Carmi	Carmi		Carmi	وَكَرْمِي	Carmi	Carmi	Karmi	Karmi
NUM 26:8!2	פַלּ֖וּא	פַּלּוּא	Pallu	φαλλου	Fallu	法路	法路	Фаллуя	Palu	palu	Pallu	Falú		Pallu	وَأَلِيَآبُ	Palu	Pallu	Pallu	Pallu
NUM 26:8!3	אֱלִיאָֽב	אֱלִיאָב	Eliab	ελιαβ	Eliyab	以利押	以利押	Елиав	Eliabu	eliab	Éliab	Eliab	eliap	Eliab	فَلُّو	Eliab	Eliab	Eliab	Eliab
NUM 26:9!2	אֱלִיאָ֔ב	אֱלִיאָב	Eliab	ελιαβ	Eliyab	以利押	以利押	Елиава	Eliabu	eliab	Éliab	Eliab	eliap	Eliab	أَلِيآبَ	Eliab	Eliab	Eliab	Eliab
NUM 26:9!3	נְמוּאֵ֖ל	נְמוּאֵל	Nemuel	ναμουηλ	Nemuwel	尼母利	尼母利	Немуил	Nemueli	nemuel	Nemuel	Nemuel	nemuel	Nemuel	نَمُوئِيلُ	Nemuel	Nemuel	Nemuel	Nemuel
NUM 26:9!4	דָתָ֣ן	דָּתָן	Dathan	δαθαν	Datan	大坍	大坍	Дафан	Dathani	datan	Dathan	Datán		Dathan	وَدَاثَانُ	Datan	Dathan	Dathan	Datan
NUM 26:9!5	אֲבִירָ֑ם	אֲבִירָם	Abiram	αβιρων	Abiram	亚比兰	亞比蘭	Авирон	Abiramu	abiram	Abiram	Abiram	abiram	Abiram	وَأَبِيرَامُ	Abiram	Abiram	Abiram	Abiram
NUM 26:9!7	דָתָ֨ן	דָּתָן	Dathan		Datan	大坍	大坍	Дафан	Dathani	Datan	Dathan	Datán		Dathan	وَدَاثَانُ	Datan	Dathan	Dathan	Datan
NUM 26:9!8	אֲבִירָ֜ם	אֲבִירָם	Abiram		Abiram	亚比兰	亞比蘭	Авирон	Abiramu	abiram	Abiram	Abiram	abiram	Abiram	وَأَبِيرَامُ	Abiram	Abiram	Abiram	Abiram
NUM 26:9!15	מֹשֶׁ֤ה	מֹשֶׁה	Moses	μωυσῆν	Musa	摩西	摩西	Моисея	Musa	musa	Moïse	Moisés		Moses	مُوسَى	Moises	Moses	Moses	Musa
NUM 26:9!17	אַהֲרֹן֙	אַהֲרֹן	Aaron	ααρων	Haruna	亚伦	亞倫	Аарона	Haruni	harun	Aaron	Aarón	aron	Aaron	وَهَرُونَ		Aaron	Aaron	Aron
NUM 26:9!19	קֹ֔רַח	קֹ֫רַח	Korah	κορε	Kora	可拉	可拉	Корея	Kora	korah	Koré	Coré	kora	Korah	قُورَحَ		Korah	Korah	Kora
NUM 26:9!22	יְהוָֽה	יהוה	LORD	κυρίου	Ubangiji	耶和华	耶和華		BWANA	tuhan	Éternel	jehová	bikpela	LORD	الرَّبِّ	Yahweh	LORD	Yahweh	Jahowa
NUM 26:10!8	קֹ֖רַח	קֹ֫רַח	Korah	κορε	Kora	可拉	可拉	Корея	Kora	korah	Koré	Coré	kora	Korah	قُورَحَ		Korah	Korah	Kora
NUM 26:11!2	קֹ֖רַח	קֹ֫רַח	Korah	κορε	Kora	可拉	可拉	Кореевы	Kora	korah	Koré	Coré	kora	Korah	قُورَحَ		Korah	Korah	Kora
NUM 26:12!2	שִׁמְעוֹן֮	שִׁמְעוֹן	Simeon	συμεων	Simeyon	西缅	西緬	Симеона	Simeoni	simeon	Siméon	Simeón		Simeon	شِمْعُونَ	Simeon	Simeon	Simeon	Simeon
NUM 26:12!4	נְמוּאֵ֗ל	נְמוּאֵל	Nemuel	ναμουηλ	Nemuwel	尼母利	尼母利	Немуила	Yemueli	nemuel	Nemuel	Nemuel	nemuel	Nemuel	نَمُوئِيلُ	Nemuel	Nemuel	Nemuel	Nemuel
NUM 26:12!7	יָמִ֕ין	יָמִין	Jamin	ιαμιν	Yamin	雅悯	雅憫	Ямина	Yamini	yamin	Jamin	Jamín	jamin	Jamin	وَيَامِينُ	Jamin	Jamin	Jamin	Jamin
NUM 26:12!10	יָכִ֕ין	יָכִין	Jachin	ιαξιν	Yakin	雅斤	雅斤	Яхина	Yakini	yakhin	Jakin	Jaquín	jakin	Jachin	وَيَاكِينُ	Jaquin	Jachin	Jakin	Jakin
NUM 26:13!1	זֶ֕רַח	זֶ֫רַח	Zerah	ζαρα	Zera	谢拉	謝拉		Sohari	zerah		Zera	sera	Zerah	وَزَارَحُ		Zerah	Zerah	Zerah
NUM 26:13!4	שָׁא֕וּל	שָׁאוּל	Shaul	σαουλ	Sha’ul	扫罗	掃羅	Саула	Shauli	saul	Saül	Saúl		Shaul	وَشَأُولُ	Saul	Shaul	Shaul	Saul
